query_id,query_name,strategy,adaptive_enabled,median_runtime_sec,best_runtime_sec,rows_returned,left_rows,right_rows,hot_key_left_rows,hot_key_right_rows,salt_count,left_skew_ratio_before,left_skew_ratio_after,uses_adaptive_plan,uses_broadcast_join,uses_sort_merge_join
AQE_OFF,sortmerge_skew_join_aqe_off,SortMerge AQE off,False,0.149292,0.140018,20,180000,12000,60000,80,8,8.869,1.378,False,False,True
AQE_ON,sortmerge_skew_join_aqe_on,SortMerge AQE on,True,0.146063,0.141581,20,180000,12000,60000,80,8,8.869,1.378,True,False,True
