query_id,query_name,raw_sec,bucketed_sec,uses_partition_pruning,partitions_scanned,result
Q11,bucketed_origin_zone_lookup,1.238054,0.584514,True,,52.8% faster
Q12,bucketed_origin_zone_join,0.936964,0.483105,True,,48.4% faster
