query_id,query_name,strategy,adaptive_enabled,median_runtime_sec,best_runtime_sec,rows_returned,left_rows,right_rows,hot_key_left_rows,hot_key_right_rows,salt_count,left_skew_ratio_before,left_skew_ratio_after,uses_adaptive_plan,uses_broadcast_join,uses_sort_merge_join
JL01,large_sortmerge_skew_join,SortMerge non-broadcast,True,0.155198,0.136398,20,180000,12000,60000,80,8,8.869,1.378,True,False,True
JL02,large_salted_skew_join,Salted non-broadcast,True,0.350621,0.325236,20,180000,12000,60000,80,8,8.869,1.378,True,False,True
